site,towerSite,product
HOPB,HARV,DP1.00006.001
HOPB,HARV,DP1.00038.001
HOPB,HARV,DP1.00013.001
POSE,SCBI,DP1.00006.001
POSE,SCBI,DP1.00038.001
POSE,SCBI,DP1.00013.001
LEWI,BLAN,DP1.00006.001
LEWI,BLAN,DP1.00038.001
LEWI,BLAN,DP1.00013.001
BARC,OSBS,DP1.00006.001
BARC,OSBS,DP1.00038.001
BARC,OSBS,DP1.00013.001
SUGG,OSBS,DP1.00006.001
SUGG,OSBS,DP1.00038.001
SUGG,OSBS,DP1.00013.001
FLNT,JERC,DP1.00006.001
FLNT,JERC,DP1.00038.001
FLNT,JERC,DP1.00013.001
CRAM,UNDE,DP1.00006.001
CRAM,UNDE,DP1.00038.001
CRAM,UNDE,DP1.00013.001
LIRO,UNDE,DP1.00006.001
LIRO,UNDE,DP1.00038.001
LIRO,UNDE,DP1.00013.001
KING,KONZ,DP1.00006.001
KING,KONZ,DP1.00038.001
KING,KONZ,DP1.00013.001
WALK,ORNL,DP1.00006.001
WALK,ORNL,DP1.00038.001
WALK,ORNL,DP1.00013.001
LECO,GRSM,DP1.00006.001
LECO,GRSM,DP1.00038.001
LECO,GRSM,DP1.00013.001
MAYF,TALL,DP1.00006.001
MAYF,TALL,DP1.00038.001
MAYF,TALL,DP1.00013.001
BLWA,DELA,DP1.00004.001
BLWA,DELA,DP1.00001.001
BLWA,DELA,DP1.00024.001
BLWA,DELA,DP1.00098.001
BLWA,DELA,DP1.00002.001
BLWA,DELA,DP1.00023.001
BLWA,DELA,DP1.00006.001
BLWA,DELA,DP1.00038.001
BLWA,DELA,DP1.00013.001
TOMB,LENO,DP1.00004.001
TOMB,LENO,DP1.00001.001
TOMB,LENO,DP1.00024.001
TOMB,LENO,DP1.00098.001
TOMB,LENO,DP1.00002.001
TOMB,LENO,DP1.00023.001
TOMB,LENO,DP1.00006.001
TOMB,LENO,DP1.00038.001
TOMB,LENO,DP1.00013.001
PRPO,WOOD,DP1.00006.001
PRPO,WOOD,DP1.00038.001
PRPO,WOOD,DP1.00013.001
PRLA,DCFS,DP1.00006.001
PRLA,DCFS,DP1.00038.001
PRLA,DCFS,DP1.00013.001
BLDE,YELL,DP1.00006.001
BLDE,YELL,DP1.00038.001
BLDE,YELL,DP1.00013.001
COMO,NIWO,DP1.00006.001
COMO,NIWO,DP1.00038.001
COMO,NIWO,DP1.00013.001
MART,WREF,DP1.00006.001
MART,WREF,DP1.00038.001
MART,WREF,DP1.00013.001
TECR,TEAK,DP1.00006.001
TECR,TEAK,DP1.00038.001
TECR,TEAK,DP1.00013.001
OKSR,TOOL,DP1.00006.001
OKSR,TOOL,DP1.00038.001
OKSR,TOOL,DP1.00013.001
CARI,BONA,DP1.00006.001
CARI,BONA,DP1.00038.001
CARI,BONA,DP1.00013.001
